true_intent,predicted_intent,text
product_or_digital_issue,other_non_actionable,@AmazonHelp バージョンアップの度にアプリ内でのリマインド広告が増えています。ユーザーは本を読むためにリーダーアプリを使います。買い物をするためではありません。アプリのバージョンは別添の通りです。よろしくお願いします。 https://t.co/UoHrN2BrBe
product_or_digital_issue,other_non_actionable,"@AmazonHelp Wenn ich drauf drücke tut sich gar nichts. Weder öffnet sich die App, noch kann ich dann irgendwas anderes drücken außer „Exit“. Ich hab sie gelöscht, aber nach wie vor ist das Problem noch da."
product_or_digital_issue,other_non_actionable,@115821 ARE YOU working on fixing my app or do I have to suffer without you for an entire day? 😭😭😭
delivery_attempt_issue,other_non_actionable,@AmazonHelp Estoy muy harta de esta situación. Lo he dicho por activa y por pasiva y seguís mandando cosas por Correos. LA GENTE PAGA POR UN SERVICIO. DADLE ESE SERVICIO. CORREOS NO PROPORCIONA ESE SERVICIO.
delivery_attempt_issue,other_non_actionable,@AmazonHelp Hola. ¿Hay alguna forma de contactar con el mensajero para saber a qué hora tiene previsto hacer una entrega? Muchas gracias.
delivery_attempt_issue,other_non_actionable,"@AmazonHelp En ""compañía de transporte: other"" y al clicar encima me sale este mensaje https://t.co/dkmVqwIIDW"
delivery_not_received,other_non_actionable,"@AmazonHelp Yes I did but not impressed with the people on the phone.Why didn't your people ring the bell,why wasnt a card left and where is the parcel?"
delivery_not_received,other_non_actionable,"@116928 compré un libro, se perdió en el camino, volvieron a mandarlo, no llegó, hice todo tipo de gestiones sin éxito. ¿Cuándo me van a entregar el libro? Pedido n.º 408-4988809-6162761"
delivery_not_received,other_non_actionable,"@115821 @123967 i called customer service and they told me to ""try to locate my package"" .... How am I supposed to locate my package??!"
delivery_delay,delivery_attempt_issue,"@AmazonHelp 
Hey preordered the new @212203 game and no relase day delivery. Messaged and called customer service no help https://t.co/iWWG3Slz4S"
delivery_delay,delivery_attempt_issue,@AmazonHelp  I am waiting for my one day promised delivery even on the second day. PATHETIC! No response. Order# 114-1485690-6070629
delivery_delay,delivery_attempt_issue,@268666 @AmazonHelp @115850 Seriously. This is not the first time im facing this. Keep happening. They always promise something and then come up with excuses. They again promised a delivery before 12 noon today. Let's see
seller_or_product_complaint,other_non_actionable,@AmazonHelp This review is in violation of your community guidelines. Please have it removed. Thank you. https://t.co/L2WBaI4xvp
seller_or_product_complaint,other_non_actionable,"@AmazonHelp nothing was damaged, but something as delicate as a graphics card should be packaged a lot more than it was"
seller_or_product_complaint,other_non_actionable,@115830 @115821 @AmazonHelp @115821 rejecting my review because I haven’t spent £40???? https://t.co/5CafzqdPfH
